INPUT,English,Portuguese
MSG_REQ_APPLICANT_EMAIL_FORMAT,Email Format not correct,formato de e-mail incorreto.
LBL_APPLICANT_PH,Tel No.,telefone nº.
MSG_REQ_APPLICANT_PH,Applicant Phone number is required,o número de telefone do requerente é obrigatório.
LBL_BOOKING_COMMENT,Booking Comments,comentários de reserva
LBL_COMMENTS_ENTITY,Fullbridge Booking Comments,comentários de reserva fullbridge.
LBL_BOOKING_RULE_CONTACT,Booking Rule & Contact Info,regra de reserva e informações de contato.
LBL_INTERNAL_INFO,Internal Information,informação interna
LBL_CONTACT_TO,To,para
LBL_CONTACT_CC,CC,cartão de crédito.
LBL_CONTACT_TEL,Tel NO.,telefone.
LBL_CONTACT_FAX,Fax NO.,"fax no. pode ser traduzido para ""não fazer""."
LBL_REPORT_NO,Report NO.,relatório nº
LBL_INTERNAL_COMMENTS,Internal team Comments,comentários internos da equipe
LBL_Booking_Email,Booking Email Required,e-mail obrigatório para reserva
LBL_SUP_Code,Supplier Code,código do fornecedor
LBL_FACT_CODE,Factory Code,código de fábrica
MSG_CANNOT_GET_CUSTOMER,Customer not configured,cliente não configurado
MSG_CANNOT_GET_CUSTOMER_CONTACT,Customer contacts are missing,os contatos do cliente estão faltando.
MSG_CANNOT_GET_CUSTOMER_SERVICETYPE,Service type not configured,tipo de serviço não configurado.
MSG_CANONT_GET_CUSTOMER_SEASON,Season not configured,temporada não configurada.
MSG_CANNOT_GET_SUPPLIER,Supplier not configured,fornecedor não configurado.
MSG_CANNOT_GET_SUPPLIER_CONTACT,Supplier contacts are missing,os contatos do fornecedor estão faltando.
MSG_CANNOT_GET_FACTORY,Factory not configured,fábrica não configurada.
MSG_CANNOT_GET_FACTORY_CONTACT,Factory contacts are missing,os contatos da fábrica estão faltando.
MSG_CANNOT_GET_LOCATION,Location is not mapped,a localização não está mapeada.
MSG_UNKNOWN_ERROR,Network error. Contact It-Team,erro de rede. entre em contato com a equipe de ti.
MSG_NO_DATA,No Data,sem dados.
LBL_CUSTOMER_DETAILS,Customer Details,detalhes do cliente
MSG_SAVE_SUCCESS,Audit details saved successfully,detalhes da auditoria salvos com sucesso.
MSG_CANNOT_SAVE_AUDIT,Error : Audit cannot be saved,erro: auditoria não pode ser salva.
MSG_FORMAT_ERROR,Request format Error,erro de formato de requisição
LBL_UPLOAD,Upload,carregar.
LBL_UPLOAD_FILE_NAME,File Name,nome do arquivo
LBL_DELETE,Delete,apagar.
MSG_SAVE_SUCCESS_FILE_NOT_UPLOAD,Audit saved successfully and attachments are not saved,auditoria salva com sucesso e os anexos não estão salvos.
MSG_Data_Error,Data Error. Please Check with IT-Team,"erro de dados. por favor, verifique com a equipe de ti."
MSG_CANNOT_GET_BOOKINGRULE,Booking Rule not mapped,regra de reserva não mapeada
LBL_EMail_NOTIFICATION,Email Notification,notificação por email
MSG_NO_ITEM_FOUND,No Audit Found,nenhuma auditoria encontrada.
MSG_AUDIT_NOT_UPDATED,Audit Details Not Updated,detalhes da auditoria não atualizados.
LBL_SCHEDULE,Audit Schedule,programação de auditoria.
LBL_Auditor,Auditors,auditores
LBL_CS,CS,controle de fontes - *fonte: fbi*
LBL_AUDIT_TYPE,Audit Type,tipo de auditoria
MSG_REQ_AUDIT_TYPE,Audit type required,tipo de auditoria necessário
LBL_AUDIT_WORK_PROCESS,Audit Work Process,processo de trabalho de auditoria.
MSG_CANNOT_GET_BOOKING_INFO,Audit booking office contact details not maped,detalhes de contato do escritório de reservas de auditoria não mapeados.
LBL_EDIT,Edit,editar
LBL_NEXT,Next,próxima.
LBL_PREVIEW,Preview,pré-visualização
LBL_PREVIOUS,Previous,anterior
AUDIT_SUCCESS_TITLE1,Your audit booking has been,sua reserva de auditoria foi.
AUDIT_SUCCESS_TITLE2,successfully placed,colocado com sucesso
AUDIT_SUCCESS_TITLE3,"For order status update, track your oder with order number ","para atualizar o status do pedido, rastreie seu pedido com o número do pedido."
AUDIT_NEWBOOKING,New Booking,nova reserva
AUDIT_ORDERTRACKING,Order Tracking,rastreamento de pedido
LBL_CUS_BOOKING_NO,Customer Booking No,número de reserva do cliente.
LBL_AUDIT_RESPONSIBLE,Auditor Responsible,auditor responsável
MSG_REQ_AUDITOR,Auditor is required,o auditor é necessário.
LBL_INSPECTION_COMPANY,Inspection Company,empresa de inspeção.
LBL_AUDIT_DATE,Audit Date,data de auditoria
LBL_ADDITIONAL_INFORMATION,Additional Information,informação adicional
LBL_SERVICE_TYPE_VALIDATION,"If the report has been validated by QC, the service type cannot be changed","se o relatório foi validado pela controle de qualidade, o tipo de serviço não pode ser alterado."
LBL_SERVICE_TYPE_TEMPLATE_NOT_MACTECHED,Service Type Template is not Matched,o modelo de tipo de serviço não corresponde.
MSG_DRAFT_SUCCESS,Booking drafted successfully,reserva feita com sucesso.
MSG_DRAFT_AUDIT_SAVE_FAILED,Booking drafted Failed,reserva elaborada falhou.
MSG_DRAFT_AUDIT_DELETE_SUCCESS,Drafted booking Deleted Successfully,reserva rascunhada excluída com sucesso.
TITLE,Audit Search,busca de auditoria
LBL_SEARCH,Search,buscar
LBL_CUSTOMER,Customer,cliente
LBL_SUPPLIER,Supplier,fornecedor
LBL_FACTORY,Factory,fábrica
LBL_STATUS,Status,estado
LBL_OFFICE,Branch,filial.
LBL_SEARCHDATE_FROM,From,da.
LBL_SEARCHDATE_TO,To,"a tradução para ""to"" em português é ""para""."
LBL_SELECT,Select,selecionar
MSG_NO_DATA,No Data,sem dados.
LBL_DATETYPE,Date Type,tipo de dados de data
LBL_SEARCHTYPE,Search Type,tipo de busca.
LBL_SEARCH_TYPE_DESC,Booking No/Report No/Po Number,número de reserva/número de relatório/número de pedido
LBL_SEARCH_BTN,Search,buscar
LBL_RESET,Reset,redefinir
MSG_SERVICE_FROMDATE_REQ,From date is required,a data de início é obrigatória.
MSG_SERVICE_FROMDATE_GREATER_REQ,From date should be less than to date,a data de início deve ser menor que a data final.
MSG_Service_TODATE_REQ,To date is required,até a data é requerida.
MSG_Service_TODATE_LESS_REQ,To date not less than from date,até a data não menos do que a partir da data.
MSG_BOOKINGNO_ERROR,Booking Number should be numeric.,o número de reserva deve ser numérico.
LBL_PONO,Po No,"desculpe, não consigo fornecer a tradução para ""po no"" porque não consigo identificar o idioma de origem. você poderia me fornecer mais contexto ou informações sobre a frase? assim poderei ajudar de forma mais precisa."
LBL_BOOKINGNO,Booking No,número de reserva.
LBL_REPORTNO,Report Title,título do relatório
LBL_REPORT_TITLE,Report Title,título do relatório
LBL_SERVICEDATE_FROM,Service Date,data de serviço
LBL_SERVICEDATE_TO, Service Date To,data de serviço até
LBL_SERVICETYPE,Service,serviço
LBL_CANCEL,Cancel,cancelar
LBL_POSTPONE,ReSchedule,reagendar
LBL_EDIT,Edit,editar
MSG_NO_ITEM_FOUND,No Audit Found,nenhuma auditoria encontrada
LBL_EXPORT,Export,exportar
LBL_REPORT,Report,relatório
LBL_SCHEDULE,Schedule Auditors,agendar auditores
LBL_QUOTSTATUS,Quotation status,status da cotação.
LBL_BOOKING_CUS_NO,Booking#,reserva#
LBL_FACTORY_COUNTRY,Factory Country,país da fábrica
LBL_AUDITOR,Auditor,"auditor significa ""auditor"" em português."
LBL_AUDIT_TYPE,Inspectoin Responsible,responsável pela inspeção
LBLTBL_AUDIT_TYPE,Inspectoin Responsible,responsável pela inspeção.
LBL_INSPECTION_COMPANY,Inspectoin Company,empresa de inspeção.
LBL_AUDIT_RESPONSIBLE,Auditor Responsible,responsável pela auditoria.
MSG_CONTACTNAME_REQ,Contact Name is required,o nome de contato é obrigatório.
LBL_ERROR,Error,erro
MSG_BOOKING_NOT_FOUND,Booking not found,reserva não encontrada.
MSG_AUDITRESPPONSIBLE_NOT_CONFIGURE,Auditor is not configured,o auditor não está configurado.
MSG_CONFIRM,Auditor allocated successfully,auditor alocado com sucesso.
LBL_INSPECTION_RESPONSIBLE,Inspection Responsible,responsável pela inspeção.
LBL_AUDIT_COMPANY,Inspection Company,empresa de inspeção.
LBL_CREATED_BY,Created By,criado por
LBL_APPLYDATE,Apply Date,data de aplicação
TITLE_CANCEL,Audit Cancel,cancelar auditoria
TITLE_RESCHEDULE,Audit Reschedule,reagendamento de auditoria.
LBL_CUSTOMER,Customer,cliente.
LBL_SUPPLIER,Supplier,fornecedor.
LBL_FACTORY,Factory,fábrica
LBL_REPORTNO,Report No,número do relatório
LBL_SERVICEDATE_FROM,Service Date From,data do serviço a partir de
LBL_SERVICEDATE_TO, Service Date To,data de serviço até
LBL_SERVICETYPE,ServiceType,tipo de serviço
LBL_MAIN_DETAILS,Audit Details,detalhes da auditoria
LBL_PO,PO Number,número do pedido
LBL_SAVE,Save,salvar.
LBL_RESET,Reset,redefinir.
LBL_RETURN,Return,retorno
LBL_REASON,Reason Type,tipo de motivo
LBL_SELECT,Select,selecionar
MSG_NO_DATA,No Data,sem dados
LBL_COMMENT,Comment,comentário.
LBL_API_COMMENT,Internal Comment,comentário interno
LBL_CANCEL_RESCHEDULE_TIME,Time,tempo
LBL_TRAVELLING_EXPENSE,Travelling Expense,despesa de viagem
LBL_CURRENCY,Currency,moeda.
LBL_EMAIL_TO_ACCOUNTING,Email Send to Account Department,enviar e-mail para departamento de contabilidade.
LBL_SERVICE_FROMDATE,Service From Date,data de início do serviço.
MSG_SERVICE_FROMDATE_REQ,From date is required,a data de início é necessária.
MSG_SERVICE_FROMDATE_GREATER_REQ,From date should be greater than to date,a data de início deve ser posterior à data de término.
LBL_Service_TODATE,To Date,até a data.
MSG_Service_TODATE_REQ,To date is required,até a data é necessária.
MSG_Service_TODATE_LESS_REQ,To date not less than from date,"até a data, no mínimo a partir da data."
MSG_REASON_TYPE,Reason type required,tipo de razão obrigatório.
MSG_SAVE_SUCCESS,Audit cancelled successfully,auditoria cancelada com sucesso.
MSG_SAVE_SUCCESS_RESCHEDULE,Audit rescheduled successfully,agendamento de auditoria realocado com sucesso.
MSG_NO_ITEM_FOUND,No Audit Found,nenhuma auditoria encontrada.
MSG_NOT_SAVED,Audit not Saved,auditoria não salva.
MSG_REQUEST_NOT_CORRECT_FORMAT,Audit request not correct format,pedido de auditoria não está no formato correto.
MSG_UNKNOWN_ERROR,Network error. Contact It-Team,erro de rede. entre em contato com a equipe de ti.
MSG_CURRENCY_REQ,Currency is required,moeda é obrigatória.
LBL_INFORMATION,Information,informação
TITLE,Audit Report,relatório de auditoria.
LBL_MAIN_DETAILS,Audit Details,detalhes da auditoria
LBL_CUSTOMER,Customer,cliente
LBL_SUPPLIER,Supplier,fornecedor.
LBL_FACTORY,Factory,fábrica
LBL_REPORTNO,Report No,número do relatório
LBL_SERVICEDATE_FROM,Service Date From,data de início do serviço.
LBL_SERVICEDATE_TO, Service Date To,data do serviço até
LBL_SERVICETYPE,ServiceType,tipo de serviço
LBL_PO,PO Number,número do pedido
LBL_SAVE,Save,salvar
LBL_RESET,Reset,reiniciar
LBL_RETURN,Return,retorno
LBL_SELECT,Select,selecionar
MSG_NO_DATA,No Data,sem dados
LBL_SERVICE_FROMDATE,Service From Date,data do serviço
MSG_SERVICE_FROMDATE_REQ,From date is required,a data de início é obrigatória.
MSG_SERVICE_FROMDATE_GREATER_REQ,From date should be greater than to date,a data inicial deve ser maior que a data final.
LBL_Service_TODATE,To Date,até o momento.
MSG_Service_TODATE_REQ,To date is required,até a data é necessária.
MSG_Service_TODATE_LESS_REQ,To date not less than from date,"até a data, não inferior a partir da data."
MSG_UNKNOWN_ERROR,Network error. Contact It-Team,erro de rede. entre em contato com a equipe de ti.
LBL_INFORMATION,Information,informação
LBL_AUDITORS,Auditors,auditores
MSG_AUDITORS_REQ,Auditors required,auditores necessários.
LBL_COMMENT,Comment,comentário
MSG_NO_ITEM_FOUND,No Audit Found,nenhuma auditoria encontrada.
MSG_NOT_SAVED,Audit not Saved,auditoria não salva
MSG_REQUEST_NOT_CORRECT_FORMAT,Audit request not correct format,pedido de auditoria não está no formato correto.
MSG_NO_AUDITOR,No Auditor Found,nenhum auditório encontrado.
MSG_SAVE_SUCCESS,Audit report details saved successfully,detalhes do relatório de auditoria salvos com sucesso.
MSG_SAVE_SUCCESS_FILE_NOT_UPLOAD,Audit report details saved successfully and Report is not saved,detalhes do relatório de auditoria salvos com sucesso e relatório não salvo.
LBL_CUS_BOOKING_NO,Customer Booking No,número de reserva do cliente
MSG_SAVE_SUCCESS,Expense is successfully saved,despesa foi salva com sucesso.
MSG_COUNTRIES_NOUTFOUND,Countries are not founded,países não são fundados.
MSG_STAFF_NOUTFOUND,Current staff  is not founded,a equipe atual não é fundada.
MSG_LOCATION_NOUTFOUND,Current location  is not founded,localização atual não encontrada.
MSG_CURRENCY_NOUTFOUND,Currencies are not founded,as moedas não são fundadas.
MSG_TYPES_NOUTFOUND,Expense types are not founded,tipos de despesas não foram encontrados.
MSG_EXPENSE_NOUTFOUND,Current expense is not founded,a despesa atual não é financiada.
EXPENSECLAIM_RESULT,Expense claim,reembolso de despesas.
TITLE,Expense claim,pedido de reembolso.
LBL_MAIN,Main Details,detalhes principais
LBL_EMPLOYEE,Employee,funcionário
LBL_CLAIMDATE,Claim Date,data de reivindicação.
LBL_COUNTRY,Country,país
LBL_CLAIMTYPE,Claim Type,tipo de reivindicação.
LBL_SELECT,Select,selecionar
LBL_BRANCH,Office,escritório
LBL_CLAIMNO,Claim No,número de reivindicação.
LBL_CLAIMSTATUS,Claim Status,status da reclamação
LBL_EXPENSEPURPOSE, Expense Purpose,finalidade da despesa.
LBL_EXPENSECLAIMS,Expense Claims,reembolso de despesas.
LBL_EXPENSEDATE,Expense Date,data de despesa
LBL_EXPENSETYPE,Expense Type,tipo de despesa.
LBL_RECEIPT,Receipt (Y/N),recibo (s/n)?
LBL_STARTCITY,Start City,cidade inicial
LBL_DESTCITY,Dest City,cidade destino
LBL_CURRENCY,Currency,moeda.
LBL_ACTUALAMOUNT,Actual Amount,valor real
LBL_EXCHANGERATE,Exchange Rate,taxa de câmbio.
LBL_AMOUNT,Amount,quantidade
LBL_DESC,Expense Desc. / remarks,descrição das despesas / observações
LBL_YES,Yes,sim.
LBL_NO,No,não.
LBL_TOTAL,Total Amount,montante total
LBL_ADD,Add,adicionar
LBL_COPY,Copy,cópia
LBL_DELETE,Delete,excluir
LBL_RETURN,Return,retorno
LBL_SAVE,Save,salvar.
MSG_COUNTRY_REQ,Country is required,país é obrigatório.
MSG_EXPURPOSE_REQ,Expense purpose is required,o objetivo da despesa é obrigatório.
MSG_EXDATE_REQ,Expense date is required,a data da despesa é necessária.
MSG_EXDATE_DATE,Expense Date has not valid date,data de despesa não possui uma data válida.
MSG_EXTYPE_REQ,Expense type is required,o tipo de despesa é obrigatório.
MSG_CURRENCY_REQ,Currency is required,é necessário ter moeda.
MSG_ACTAMOUNT_REQ,Actual amount is required,quantia real é necessária.
MSG_BOOKINGNO_REQ,Booking No is required,o número de reserva é obrigatório.
LBL_UPLOAD,Upload,carregar
LBL_FILES,Receipt files,arquivos de recibo.
MSG_REQUESTNOTCORRECT,Request is not correct,o pedido não está correto.
MSG_CURRENTCLAIM_NOTFOUND,Current Expense claim is not founded,despesa atual não é fundamentada.
MSG_EXPCLAIMLIST_STATUS,Status is updated,o status foi atualizado.
MSG_EXPCLAIM_ERROR_STATUS,Cannot update status,não é possível atualizar o status.
MSG_startCity_REQ,Start city is required,a cidade de partida é obrigatória.
MSG_destCity_REQ,Destination city is required,a cidade de destino é necessária.
MSG_FILESIZE_ERROR,File size should be less than 2 MB,o tamanho do arquivo deve ser inferior a 2 mb.
MSG_FILEEXT_ERROR,File type not supported,tipo de arquivo não suportado.
LBL_APPROVE,APPROVE,aprovar
LBL_CHECK,CHECK,verificar
LBL_PAY,PAY,pagar
LBL_REJECT,REJECT,recusar
LBL_CANCEL,CANCEL,cancelar
LBL_BOOKING,Booking,reserva.
LBL_BOOKINGNO,Booking No,reserva nº
LBL_SERVICEDATEFROM,Service Date From,data de serviço a partir de
LBL_SERVICEDATETO,Service Date To,data de fim do serviço.
LBL_CUSTOMER,Customer,cliente
LBL_SUPPLIER,Supplier,fornecedor
LBL_FACTORY,Factory,fábrica.
LBL_SERVICETYPE,Service Type,tipo de serviço
MSG_CANNOT_GET,"Error: Cannot Get Details, please contact IT-Team","erro: não é possível obter detalhes, por favor, entre em contato com a equipe de ti."
MSG_CLAIMTYPE_REQ,Claim type is required,tipo de reivindicação é obrigatório.
MSG_NO_BOOKING,there is no booking available with the selected claim type,não há reserva disponível com o tipo de reclamação selecionado.
MSG_NO_AUDITBOOKING,No Audit Bookings Found,nenhuma reserva de auditoria encontrada.
MSG_NO_INSPECTIONBOOKING,No Inspection Bookings Found,nenhuma reserva de inspeção encontrada.
MSG_ATLEAST_ONE_EXPENSE_CLAIM,One Expense claim data must to save the entry,uma despesa deve ser salva para registrar a entrada.
MSG_CANNOT_SAVE_EXPENSE_OTHER_COMPANY,Explaim claim request cannot be made to the company which you dont belong to,a solicitação de reivindicação de explicação não pode ser feita para a empresa à qual você não pertence.
TITLE,Organization Detail,detalhes da organização.
LBL_MAIN,Main details,principais detalhes
LBL_NAME,Organization Name,nome da organização
LBL_STARTDATE,Start Date,data de início.
LBL_GROUP,Group,grupo
LBL_ABBR,Abbr,abbr significa (em português): abreviação
LBL_EMAIL,Email,e-mail
LBL_WEBSITE,Website,site da web
LBL_PHONE,Phone,telefone
LBL_OTHER_PHONENUMBER,Other Phone Numbers(s),outros números de telefone.
LBL_FAX,Fax,fax - fac-símile
LBL_OTHERS,Others,outros
LBL_CATEGORY,CateGory,categoria
LBL_LANGUAGE,Language,idioma
LBL_DIVISION,Division,divisão
LBL_PROSPECT_STATUS,Prospect Status,status da oportunidade
LBL_MARKET_SEGMENT,Segment,"segment em português é ""segmento""."
LBL_BUSINESS_TYPE,Profile,perfil
LBL_CUSTOMER_COMPLEXITYLEVEL,Organization Complexity Level,nível de complexidade da organização.
LBL_SKILLS_REQUIRED,Skills Required,habilidades requeridas
LBL_BUSINESS_COUNTRY,Business Country,país dos negócios
LBL_QUOTATION_NAME,Quotation Name,nome da citação
LBL_INVOICE_TYPE,Invoice Type,tipo de fatura
LBL_KAM,KAM,monitorização de ativos em tempo real
LBL_GLCODE,GLCode,código gl
LBL_IC_REQUIRED,ICRequired,requerida_ie
LBL_COMMENTS,Comments,comentários.
LBL_BOOKING_COMMENTS,QC Comments,comentários de controle de qualidade
TAB_ADDRESS,Address,endereço.
MSG_CANNOT_ADDSUPPLIER,Cannot add supplier,não é possível adicionar fornecedor.
SAVE_RESULT,Save result,salvar resultado
SAVE_OK,Organization is saved succefully!,a organização foi salva com sucesso!
MSG_CURRENTSUPP_NOTFOUND,Cannot find current Organization,não é possível encontrar a organização atual.
MSG_CANNOTMAPREQUEST,Cannot map request,não é possível mapear a solicitação.
MSG_NAME_REQ,Organization name is required,o nome da organização é obrigatório.
MSG_GROUP_REQ,Group is required,grupo é obrigatório.
MSG_INVOICE_TYPE_REQ,Invoice Type is required,o tipo de fatura é obrigatório.
MSG_BUSINESS_COUNTRY_REQ,Business Country is required,país de negócios é obrigatório.
MSG_STARTDATE_REQ,StartDate is required,a data de início é obrigatória.
MSG_KAM_REQ,Kam is required,kam é necessário.
MSG_TYPE_REQ,Organization Type is required,o tipo de organização é obrigatório.
MSG_UNKNONW_ERROR,Unknown error has occured,ocorreu um erro desconhecido.
LBL_SAVE,Save,salvar
MSG_EMAIL_EMAIL,Email is not valid,o email não é válido.
LBL_ADDRESS_TYPE,Address Type,tipo de endereço
LBL_OFFICENAME_ADDRESS,Office Name/Address,nome/endereço do escritório
LBL_BOXPOST,BoxPost,caixapostal
LBL_ZIPCODE,Zip Code,código postal.
LBL_COUNTRY,Country,país
LBL_CITY,City,"a tradução para português de ""city"" é ""cidade""."
LBL_ADD,Add,adicionar
LBL_SELECT,Select,selecionar
LBL_CUSTOMER,Select Organization,selecionar organização
LBL_JOBTITLE,Job Title,título do cargo
LBL_CUSTOMERS,Customers,clientes
LBL_REMOVE,Remove,remover
LBL_NEWSUPP,New Supplier,novo fornecedor
LBL_SELECTSUPP,Select Supplier,selecionar fornecedor.
LBL_OFFICETYPE,Office Type,tipo de escritório
LBL_CUSTCODE,Code,código
MSG_EMAIL_REQ,Email is required,email é obrigatório.
MSG_CONTACT_REQ,Contact person name is required,o nome da pessoa de contato é obrigatório.
LBL_LONGITUDE,Longitude,"longitude significa ""longitude"" em português."
LBL_LATITUDE,Latitude,"latitude significa ""latitude"" em português."
LBL_LOCALLANGUAGEADR,Regional Language,idioma regional
MSG_ADRHEAD_REQ,"Head Office is required, Only one is allowed","a sede é requerida, apenas uma é permitida."
MSG_COUNTRY_REQ,Country is required,país é obrigatório.
MSG_REGION_REQ,Province is required,província é obrigatória.
MSG_CITY_REQ,City is required,cidade é obrigatória.
MSG_ZIPCODE_REQ,Zip Code is required,código postal é obrigatório.
MSG_ADDRESS_REQ,Address is required,endereço é obrigatório.
MSG_ADDRESSTYPE_REQ,Address Type is required,o tipo de endereço é obrigatório.
MSG_BOXPOST_REQ,Boxpost is required,boxpost é obrigatório.
MSG_LOCALLANG_REQ,Regional language is required,é necessário o idioma regional.
MSG_CUSTOMER_REQ,No customers are selected,nenhum cliente está selecionado.
MSG_CONTACTNAME_REQ,Name is required,nome é obrigatório.
MSG_CONTACTEMAIL_REQ,Contact email is required,e-mail de contato é obrigatório.
MSG_CUSTOMERS_REQ,Select Organization is required,organização selecionada é necessária.
MSG_CONTACTEMAIL_EMAIL,Email is not valid,o e-mail não é válido.
MSG_SUPPLIER_EXISTS,Cannot save customer because it exists in database,não é possível salvar o cliente porque ele já existe no banco de dados.
MSG_CUSTOMERSNOTSELECTED_REQ,Some customers associated to contact are not selected,alguns clientes associados ao contato não estão selecionados.
LBL_ICREQ,IC Required,"ic required significa ""ic exigido""."
MSG_GL_CODE_REQ,GL Code Required,código gl necessário
MSG_DUPLICATE_CUSTOMER_EXISTS,Duplicate Customer Name Found,cliente com nome duplicado encontrado.
MSG_DUPLICATE_GLCODE_EXISTS,Duplicate GLCode Found,código gl duplicado encontrado.
MSG_DUPLICATE_EMAIL_EXISTS,Duplicate Email Found,e-mail duplicado encontrado.
TITLE,Customer summary,resumo do cliente.
LBL_CUSTOMERNAME,Customer Name,nome do cliente.
LBL_ABBR,Abbr,"abbr significa ""abreviação"" em português."
LBL_GROUP_NAME,Group Name,nome do grupo.
LBL_MAIN,Main,principal
LBL_CONTACTS,Contacts,contatos.
LBL_BRAND,Brand,marca
LBL_BUYER,Buyer,comprador
LBL_PRODUCT_CATEGORY,Product Category,categoria de produto
LBL_DEPARTMENT,Department,departamento
LBL_SERVICE_LINE,Service Line,linha de serviço
LBL_GROUP,Customer Group,grupo de clientes
LBL_SELECT,Select,selecionar
LBL_CUSTOMER,Customer,cliente
LBL_SEARCH,Search,buscar
LBL_NAME,Name,nome.
LBL_REGION,Region,região
LBL_CITY,City,cidade.
LBL_FACTORYLIST,Factory list,lista de fábrica
LBL_NOITEMS,No result found,nenhum resultado encontrado.
LBL_CONFIRMDELETION,Confirm deletion,confirmar exclusão.
MSG_CONFRMDELETE,Are you sure  you want to remove supplier ,você tem certeza de que deseja remover o fornecedor?
LBL_REMOVE,Remove,remover
MSG_TYPES_REQ,Type is required,tipo é obrigatório.
MSG_EXPCLAIMLIST_STATUS,Status is updated,o status está atualizado.
MSG_EXPCLAIM_ERROR_STATUS,Cannot update status,não é possível atualizar o status.
MSG_SHOWING,Showing,mostrando
MSG_TO,to,ao
MSG_OF,of,da
MSG_RECORDS,records,registros
LBL_CUSTOMER_CHECKPOINTS,Check Points,pontos de verificação
LBL_CUSTOMER_COLLECTION,Collection,coleção
TITLE,Customer Brand,marca do cliente
LBL_MAIN,Main Details,detalhes principais
TAB_BRAND,Brand,marca.
LBL_CUSTOMER,Customer,cliente
LBL_ADD,Add,adicionar
LBL_SAVE,Save,salvar
MSG_NAME_REQ,Brand is required,a marca é necessária.
MSG_BRANDCODE_REQ,BrandCode is required,o código da marca é obrigatório.
MSG_ID_REQ,Customer is required,o cliente é necessário.
SAVE_RESULT,Save result,salvar resultado
SAVE_OK,Customer Brand is saved succefully!,a marca do cliente foi salva com sucesso!
MSG_CANNOT_ADDCUSTOMERBRAND,Cannot Add CustomerBrand,não é possível adicionar a marca do cliente.
MSG_CURRENTBRAND_NOTFOUND,Current Customer Brand Not Found,marca do cliente atual não encontrada.
MSG_CUSTOMERBRAND_EXISTS,Customer Brand does noe exist,a marca do cliente não existe.
LBL_SELECT,Select,selecionar
LBL_BRAND_NAME,Brand Name,marca.
LBL_BRAND_CODE,Brand Code,código de marca
TITLE,Expenses Claims List,lista de reclamações de despesas.
LBL_CLAIMDATE,Claim Date,data da solicitação.
LBL_EXPENSEDATE,Expense Date,data da despesa
LBL_FROMDATE,From Date,data de início
LBL_TODATE,To Date,até o momento
LBL_LOCATION,Office,escritório
LBL_EMPLOYEE,Employee,funcionário
LBL_STATUS,Status,estado
LBL_SEARCH,Search,buscar
LBL_CLAIMNO,Claim No,número de reivindicação
LBL_EXPENSEAMOUNT,Expense Amt.,valor da despesa.
LBL_FOODALLOW,Food Allowance,subsídio alimentação.
LBL_TOTAMOUNT,Tot.Amt.,total de valor.
LBL_CURRENCY,Payroll Currency,moeda da folha de pagamento.
LBL_NOITEMS,No items was found,nenhum item foi encontrado.
LBL_EXPORT,Export summary,resumo de exportação.
MSG_EMPLOYEES_REQ,Employees is required,funcionários são obrigatórios.
MSG_STATUS_REQ,Status is required,o status é obrigatório.
MSG_OFFICE_REQ,Office is required,o escritório é necessário.
MSG_STARTDATE_REQ,Start date is required,data de início é obrigatória.
MSG_STARTDATE_DATE,Start date is not valid,a data de início não é válida.
MSG_ENDDATE_REQ,End date is required,data final é obrigatória.
MSG_ENDDATE_DATE,End date is not valid,a data final não é válida.
MSG_ERROR_LOCATIONS,Cannot find any offices,não consigo encontrar nenhum escritório.
MSG_ERROR_EMPLOYEES,Cannot find any employee,não consigo encontrar nenhum funcionário.
MSG_ERROR_STATUS,Cannot find any status,não é possível encontrar nenhum status.
LBL_COMMENTREJECT,Rejection Comments,comentários de rejeição.
LBL_COMMENT,Comment,comentário
MSG_COMMENT_REQ,Comment is required,comentário é obrigatório.
LBL_CONFIRMCANCEL,Cancel,cancelar
LBL_CONFIRMOK,OK,tudo bem
MSG_ERROR_NOLOCATIONS,No Locations are affected to this user,nenhuma localização é afetada para este usuário.
LBL_UPDATESTATUS,Are You Sure ?,você tem certeza??
MSG_CONFIRMSTATUS,You're about to update the status to ,você está prestes a atualizar o status para ?
LBL_VOUCHER_KPI,Voucher Kpi,indicador-chave de desempenho do cupom.
LBL_EXPENSE_SUMMARY_KPI,Expense Summary Kpi,resumo de despesas - kpi
TITLE,Office summary,resumo do escritório.
LBL_OFFICE,Office Name,nome do escritório.
LBL_ADDRESS1,Address(English),endereço
LBL_ADDRESS2,Address (Regional Language),endereço
LBL_OFFICE_TYPE,Office Type,tipo de escritório
LBL_OFFICE_COUNTRY_CITY,Country/City,país/cidade
LBL_OFFICE_OPERATION_COUNTRIES,Operation Countries,operação países
LBL_EDIT,Edit,editar
LBL_AREA,Area,área.
LBL_SEARCH,Search,busca
LBL_SELECT,Select,selecionar
LBL_ADD,New,nova
LBL_COUNTRY_CODE,Country Code,código do país.
LBL_COUNTRY_ALPH_CODE,Alpha Code,código alfa
LBL_PREVIOUS,Previous,anterior
LBL_NEXT,Next,próximo.
LBL_No_ITEM,No data found,nenhum dado encontrado.
MSG_SHOWING,Showing,exibindo
MSG_TO,to,para
MSG_OF,of,da
MSG_RECORDS,records,registros
MSG_COUNTRY_REQ,Office is required,é necessário ter o office.
MSG_TYPES_REQ,Type is required,tipo é obrigatório.
MSG_CANTDELETE,Deletion Failed,falha na exclusão.
